segWords,Freq
China,54
coronavirus,51
nCoV,45
Coronavirus,32
Wuhan,32
health,24
outbreak,24
Fauci,21
article,19
clinical,17
pneumonia,15
confirmed,14
public,14
reports,14
articles,13
free,13
Anthony,12
Bauchner,12
conversation,12
CoV,12
Howard,12
JAMA,12
NEJM,12
patients,12
spreading,12
emerged,11
including,11
New,11
RNolKs,11
symptoms,11
text,11
virus,11
content,10
details,10
editor,10
Far,10
Know,10
ma,10
NIAIDNews,10
Novel,10
deaths,9
emahase,9
fatality,9
unclear,9
appears,8
CoronavirusOutbreak,8
defense,8
emergence,8
epidemic,8
isolation,8
lower,8
measures,8
MERS,8
primary,8
prospect,8
publichealth,8
rapidly,8
rate,8
SARS,8
unknown,8
CST,7
Hospital,7
Jan,7
live,7
Mon,7
Outbreak,7
pm,7
published,7
resources,7
time,7
transmission,7
aircraft,6
alert,6
Although,6
announced,6
authors,6
BigPicture,6
Cantonese,6
CDC,6
centre,6
check,6
control,6
data,6
describes,6
designated,6
detected,6
direct,6
English,6
features,6
flight,6
global,6
government,6
identified,6
infected,6
institutions,6
Jinyintan,6
Just,6
Keqiang,6
Lancet,6
Li,6
Mandarin,6
meet,6
passengers,6
Perspective,6
premier,6
provide,6
psTgD,6
remain,6
specimens,6
stage,6
team,6
teams,6
tested,6
thelancet,6
UK,6
visiting,6
week,6
Beijing,5
city,5
collects,5
commentary,5
contained,5
Don,5
efficiently,5
electron,5
emergencies,5
evolving,5
freely,5
guidelines,5
GxfKU,5
Image,5
individuals,5
infection,5
JAMALive,5
January,5
livestream,5
management,5
microscopy,5
mild,5
More,5
nCov,5
people,5
publish,5
reported,5
severity,5
spectrum,5
Today,5
topic,5
transmit,5
Uncertainty,5
viewed,5
Visualization,5
access,4
Classic,4
coronavirusoutbreak,4
drip,4
originating,4
Public,4
Read,4
risen,4
situation,4
sustained,4
TPRdnT,4
uncertain,4
viewpoint,4
authorities,3
From,3
Hong,3
Kong,3
NIAID,3
amid,2
Authors,2
bio,2
border,2
central,2
Chief,2
Director,2
Editor,2
Facebook,2
fears,2
Google,2
human,2
Kevin,2
Link,2
LJGz,2
lt,2
Macau,2
misinformation,2
neighbouring,2
NYkwke,2
paywall,2
prompted,2
scramble,2
shouldn,2
signal,2
son,2
speaking,2
standard,2
step,2
surveillance,2
Taiwan,2
Thanks,2
threat,2
Tune,2
Twitter,2
washingtonpost,2
actionable,1
aged,1
aMfaCx,1
aMMGT,1
assets,1
bookmark,1
Brief,1
Case,1
days,1
diagnosis,1
Dir,1
editors,1
elderly,1
epidemics,1
eventually,1
family,1
father,1
findings,1
flown,1
Hanoi,1
illness,1
incubation,1
Kaletra,1
key,1
link,1
manage,1
microbiological,1
middle,1
news,1
NIAIDnews,1
org,1
ow,1
Paper,1
pb,1
PCR,1
pdf,1
pdfs,1
period,1
PeriscopeCo,1
Podcast,1
PPNvxQXs,1
practitioners,1
prevent,1
Rapidly,1
rationale,1
rendesavir,1
report,1
Report,1
S,1
Serious,1
Shenzhen,1
Some,1
suggesting,1
suggests,1
Tony,1
travelled,1
treatment,1
tWfLRF,1
UllN,1
view,1
Visit,1
Watch,1
wife,1
yesterday,1
YouTubeLive,1
